danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,cluster,similarity_score
0.794,0.478,8,0.46752822618270046,0,0.0959,0.267,4.25e-06,0.0947,0.484,0.9370109811513869,audio_features,6EULnmVFG8BRx5z6l42s70,spotify:track:6EULnmVFG8BRx5z6l42s70,https://api.spotify.com/v1/tracks/6EULnmVFG8BRx5z6l42s70,https://api.spotify.com/v1/audio-analysis/6EULnmVFG8BRx5z6l42s70,208000,4,Pop,W.Y.K.Y.K,,,4,0.03395430390363127
0.711,0.867,4,0.7479238592889802,0,0.168,0.0372,0.0,0.122,0.363,0.9620438136225468,audio_features,4o4ABOcQEZcS8V8BnNL9jv,spotify:track:4o4ABOcQEZcS8V8BnNL9jv,https://api.spotify.com/v1/tracks/4o4ABOcQEZcS8V8BnNL9jv,https://api.spotify.com/v1/audio-analysis/4o4ABOcQEZcS8V8BnNL9jv,160442,4,RnB,Before Daybreak,,,4,0.03395276718211753
0.7959999999999999,0.602,8,0.5995147895866382,1,0.252,0.043,0.0,0.105,0.612,0.93771387349171,audio_features,6p8FcYD1qR4e3gbunwQjXH,spotify:track:6p8FcYD1qR4e3gbunwQjXH,https://api.spotify.com/v1/tracks/6p8FcYD1qR4e3gbunwQjXH,https://api.spotify.com/v1/audio-analysis/6p8FcYD1qR4e3gbunwQjXH,153145,4,Pop,Carbon,,,4,0.03394947916466976
0.769,0.797,9,0.7705514602967248,1,0.0922,0.0995,5.52e-06,0.149,0.62,0.9560137372292477,audio_features,1ZNY60Rv5gp8rcEmEUYxh7,spotify:track:1ZNY60Rv5gp8rcEmEUYxh7,https://api.spotify.com/v1/tracks/1ZNY60Rv5gp8rcEmEUYxh7,https://api.spotify.com/v1/audio-analysis/1ZNY60Rv5gp8rcEmEUYxh7,264147,4,RnB,Can We Chill,,,4,0.033949161280295743
0.897,0.612,11,0.4849304842773165,1,0.211,0.0297,0.186,0.0894,0.767,0.9041600128247025,audio_features,1oTHteQbmJw15rPxPVXUTv,spotify:track:1oTHteQbmJw15rPxPVXUTv,https://api.spotify.com/v1/tracks/1oTHteQbmJw15rPxPVXUTv,https://api.spotify.com/v1/audio-analysis/1oTHteQbmJw15rPxPVXUTv,208267,4,Hiphop,Insane in the Brain,,,4,0.03394020034520194
0.442,0.18,10,0.5987216571801811,1,0.048,0.962,8.52e-06,0.1119999999999999,0.233,0.972346735558337,audio_features,1wNEBPo3nsbGCZRryI832I,spotify:track:1wNEBPo3nsbGCZRryI832I,https://api.spotify.com/v1/tracks/1wNEBPo3nsbGCZRryI832I,https://api.spotify.com/v1/audio-analysis/1wNEBPo3nsbGCZRryI832I,217200,3,RnB,Paradise,,,5,0.024017240456813447
0.514,0.278,2,0.4675748810301391,1,0.0517,0.64,0.00268,0.108,0.185,0.9551505361095526,audio_features,7Jpbi0eEG3WGUhScLt5BgA,spotify:track:7Jpbi0eEG3WGUhScLt5BgA,https://api.spotify.com/v1/tracks/7Jpbi0eEG3WGUhScLt5BgA,https://api.spotify.com/v1/audio-analysis/7Jpbi0eEG3WGUhScLt5BgA,214622,4,RnB,There's Little Left,,,5,0.02401705652204174
0.4579999999999999,0.8220000000000001,8,0.6657646729495196,0,0.0431,0.00279,0.0,0.15,0.6,0.9263319501563009,audio_features,4r7im8h2DTRPvl25YfNyIT,spotify:track:4r7im8h2DTRPvl25YfNyIT,https://api.spotify.com/v1/tracks/4r7im8h2DTRPvl25YfNyIT,https://api.spotify.com/v1/audio-analysis/4r7im8h2DTRPvl25YfNyIT,225667,4,Emo,Long Day,,,0,0.02400323538466417
0.555,0.434,9,0.33092283288233665,0,0.3329999999999999,0.528,0.0,0.102,0.125,0.8820990584942072,audio_features,2fiEhRtZzh480MuKScqr8W,spotify:track:2fiEhRtZzh480MuKScqr8W,https://api.spotify.com/v1/tracks/2fiEhRtZzh480MuKScqr8W,https://api.spotify.com/v1/audio-analysis/2fiEhRtZzh480MuKScqr8W,116926,4,Hiphop,Summer Playlists,,,5,0.02400072461622617
0.505,0.34,4,0.5541662778762714,1,0.0438,0.5760000000000001,0.0,0.21,0.0916,0.9003126021197753,audio_features,1HfMVBKM75vxSfsQ5VefZ5,spotify:track:1HfMVBKM75vxSfsQ5VefZ5,https://api.spotify.com/v1/tracks/1HfMVBKM75vxSfsQ5VefZ5,https://api.spotify.com/v1/audio-analysis/1HfMVBKM75vxSfsQ5VefZ5,206459,4,Emo,Lose You To Love Me,,,5,0.02399885825170774
0.5820000000000001,0.272,2,0.7101334328636746,1,0.0501,0.875,0.0,0.13,0.354,0.911780845567154,audio_features,78TTtXnFQPzwqlbtbwqN0y,spotify:track:78TTtXnFQPzwqlbtbwqN0y,https://api.spotify.com/v1/tracks/78TTtXnFQPzwqlbtbwqN0y,https://api.spotify.com/v1/audio-analysis/78TTtXnFQPzwqlbtbwqN0y,188238,4,Pop,FourFiveSeconds,,,5,0.023997089256711398
0.539,0.949,5,0.7769431743958198,0,0.0711,0.000181,2.3800000000000003e-05,0.746,0.747,0.9182548539648675,audio_features,6lI60Z5UEtARdwQfdBYjuD,spotify:track:6lI60Z5UEtARdwQfdBYjuD,https://api.spotify.com/v1/tracks/6lI60Z5UEtARdwQfdBYjuD,https://api.spotify.com/v1/audio-analysis/6lI60Z5UEtARdwQfdBYjuD,180554,4,Emo,Voldemort,,,7,0.023996659791571055
0.486,0.977,7,0.8127274423812635,1,0.0603,0.00237,0.0,0.298,0.413,0.9189084205269227,audio_features,0BpKPyXhWsTaWkgXeOd1Sn,spotify:track:0BpKPyXhWsTaWkgXeOd1Sn,https://api.spotify.com/v1/tracks/0BpKPyXhWsTaWkgXeOd1Sn,https://api.spotify.com/v1/audio-analysis/0BpKPyXhWsTaWkgXeOd1Sn,221093,4,Emo,Thank You for the Venom,,,0,0.0239966158100478
0.517,0.897,2,0.6917980778202857,1,0.255,0.584,0.0,0.69,0.381,0.9035557720409158,audio_features,1GS9WWgNkqhR45YcdGPnBW,spotify:track:1GS9WWgNkqhR45YcdGPnBW,https://api.spotify.com/v1/tracks/1GS9WWgNkqhR45YcdGPnBW,https://api.spotify.com/v1/audio-analysis/1GS9WWgNkqhR45YcdGPnBW,251933,4,Hiphop,Non Compos Mentis,,,7,0.023995390722596183
0.883,0.465,11,0.33204254922086424,1,0.367,0.0148,0.0,0.175,0.856,0.8563879965718583,audio_features,56hyMlVcfBJIBgSmmZM3qE,spotify:track:56hyMlVcfBJIBgSmmZM3qE,https://api.spotify.com/v1/tracks/56hyMlVcfBJIBgSmmZM3qE,https://api.spotify.com/v1/audio-analysis/56hyMlVcfBJIBgSmmZM3qE,319360,4,Hiphop,Don't Believe The Hype,,,1,0.02399333942286048
0.426,0.584,1,0.7273490715685361,1,0.296,0.0383,0.0,0.188,0.272,0.8352703977507446,audio_features,5mMjkxGijQB4JZallYrkOW,spotify:track:5mMjkxGijQB4JZallYrkOW,https://api.spotify.com/v1/tracks/5mMjkxGijQB4JZallYrkOW,https://api.spotify.com/v1/audio-analysis/5mMjkxGijQB4JZallYrkOW,193213,4,Pop,Single Ladies (Put a Ring on It),,,0,0.023976015491781077
0.748,0.705,4,0.7621535877577681,0,0.485,0.204,0.0,0.246,0.483,0.8134067465333225,audio_features,1EaKU4dMbesXXd3BrLCtYG,spotify:track:1EaKU4dMbesXXd3BrLCtYG,https://api.spotify.com/v1/tracks/1EaKU4dMbesXXd3BrLCtYG,https://api.spotify.com/v1/audio-analysis/1EaKU4dMbesXXd3BrLCtYG,208733,4,Rap,ELEMENT.,,,1,0.023969005169225954
